Year,Make,Model,Price,Mileage,Market Value (Private),Market Value (Dealer),Instant Equity,Verdict,Score,Issues Count,Payback Weeks,Insurance/mo,Listing URL,Lemon Notes
2017,"Mitsubishi","Mirage G4",4000,88900,9200,11500,5200,"✅ RECOMMENDED",70,2,7,72,"",""
1980,"Dodge","Colt",2100,79050,3100,3900,1000,"⚠️ PROCEED WITH CAUTION",45,4,4,83,"",""
2021,"hyundai","elantra",250,21000,11300,14100,11050,"✅ RECOMMENDED",70,4,1,72,"",""
1968,"mercury","montego",2500,60000,2600,3300,100,"⚠️ PROCEED WITH CAUTION",45,4,4,83,"",""
2020,"freightliner","m2",1700,100000,9600,12000,7900,"✅ RECOMMENDED",70,3,3,72,"",""
1979,"mgb","convertible",6300,99000,2600,3300,-3700,"🚫 AVOID",20,5,10,83,"",""
1969,"Rover","T2000",2000,76000,2600,3300,600,"⚠️ PROCEED WITH CAUTION",45,5,4,83,"",""
1994,"chevrolet","silverado 1500",5000,220,3500,4300,-1500,"🚫 AVOID",20,5,8,83,"",""
2006,"chevrolet","hhr lt",3500,76000,6400,8000,2900,"⚠️ PROCEED WITH CAUTION",45,5,6,83,"",""
1980,"Chevrolet","Camaro",3500,100000,2800,3500,-700,"🚫 AVOID",20,5,6,83,"",""
2006,"International","99, Sterling 2004, Freighter 2006",1000,100000,5900,7400,4900,"✅ RECOMMENDED",70,4,2,83,"",""
2006,"bmw","3 series",5600,96000,10700,13400,5100,"✅ RECOMMENDED",70,4,9,83,"",""
1983,"chevrolet","k10",5500,64000,2800,3500,-2700,"🚫 AVOID",20,5,9,83,"",""
1993,"honda","del sol",7000,1,3100,3800,-3900,"🚫 AVOID",20,5,11,83,"",""
